"","x"
"1","ENSG00000003096"
"2","ENSG00000012817"
"3","ENSG00000013619"
"4","ENSG00000039537"
"5","ENSG00000047597"
"6","ENSG00000050628"
"7","ENSG00000060982"
"8","ENSG00000061455"
"9","ENSG00000064489"
"10","ENSG00000067048"
"11","ENSG00000067066"
"12","ENSG00000067177"
"13","ENSG00000067445"
"14","ENSG00000067646"
"15","ENSG00000068366"
"16","ENSG00000070404"
"17","ENSG00000070808"
"18","ENSG00000072315"
"19","ENSG00000072657"
"20","ENSG00000089682"
"21","ENSG00000092377"
"22","ENSG00000099715"
"23","ENSG00000099721"
"24","ENSG00000099725"
"25","ENSG00000099984"
"26","ENSG00000101811"
"27","ENSG00000101890"
"28","ENSG00000101916"
"29","ENSG00000101935"
"30","ENSG00000101977"
"31","ENSG00000101981"
"32","ENSG00000102034"
"33","ENSG00000102241"
"34","ENSG00000102245"
"35","ENSG00000102287"
"36","ENSG00000102595"
"37","ENSG00000108349"
"38","ENSG00000108825"
"39","ENSG00000111615"
"40","ENSG00000114374"
"41","ENSG00000114739"
"42","ENSG00000118922"
"43","ENSG00000120526"
"44","ENSG00000121274"
"45","ENSG00000122026"
"46","ENSG00000123562"
"47","ENSG00000123570"
"48","ENSG00000123572"
"49","ENSG00000123584"
"50","ENSG00000125351"
"51","ENSG00000125551"
"52","ENSG00000128340"
"53","ENSG00000129824"
"54","ENSG00000129845"
"55","ENSG00000130032"
"56","ENSG00000130538"
"57","ENSG00000130600"
"58","ENSG00000131002"
"59","ENSG00000131269"
"60","ENSG00000131725"
"61","ENSG00000132031"
"62","ENSG00000132207"
"63","ENSG00000132464"
"64","ENSG00000132915"
"65","ENSG00000133703"
"66","ENSG00000134453"
"67","ENSG00000134765"
"68","ENSG00000136488"
"69","ENSG00000138468"
"70","ENSG00000138777"
"71","ENSG00000139921"
"72","ENSG00000142178"
"73","ENSG00000142892"
"74","ENSG00000144747"
"75","ENSG00000145337"
"76","ENSG00000145642"
"77","ENSG00000145736"
"78","ENSG00000146722"
"79","ENSG00000146938"
"80","ENSG00000147027"
"81","ENSG00000147036"
"82","ENSG00000147121"
"83","ENSG00000147202"
"84","ENSG00000147231"
"85","ENSG00000147255"
"86","ENSG00000147274"
"87","ENSG00000147403"
"88","ENSG00000147753"
"89","ENSG00000147761"
"90","ENSG00000150337"
"91","ENSG00000150627"
"92","ENSG00000154016"
"93","ENSG00000154537"
"94","ENSG00000154620"
"95","ENSG00000156140"
"96","ENSG00000156313"
"97","ENSG00000156500"
"98","ENSG00000156504"
"99","ENSG00000156508"
"100","ENSG00000156755"
"101","ENSG00000157322"
"102","ENSG00000157335"
"103","ENSG00000157502"
"104","ENSG00000158427"
"105","ENSG00000159289"
"106","ENSG00000160014"
"107","ENSG00000160131"
"108","ENSG00000160223"
"109","ENSG00000162670"
"110","ENSG00000162771"
"111","ENSG00000163359"
"112","ENSG00000163389"
"113","ENSG00000163736"
"114","ENSG00000164342"
"115","ENSG00000165195"
"116","ENSG00000165246"
"117","ENSG00000166013"
"118","ENSG00000166351"
"119","ENSG00000166710"
"120","ENSG00000167494"
"121","ENSG00000167807"
"122","ENSG00000168158"
"123","ENSG00000168282"
"124","ENSG00000168757"
"125","ENSG00000169059"
"126","ENSG00000169662"
"127","ENSG00000169789"
