Gene,Ref,ENSG_id
NF1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000196712
ARIDA1A,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000117713
TP53,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000141510
AKT1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000142208
BRCA1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000012048
STAT3,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000168610
KMT2C,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000055609
PTEN,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000171862
GATA3,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000107485
NCOR1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000141027
CDH1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000039068
PIK3R1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000145675
RB1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000139687
RUNX1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000159216
KRAS,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000133703
RIC8,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000177963
ERBB2,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000141736
CBFB,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000067955
MAP24k,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000065559
PIK3CA,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000121879
RICTOR,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000164327
ESR1,https://www.nature.com/articles/s41523-021-00303-y,ENSG00000091831
